score,source,target
"63","workshop//Arts Pasifika Awards 2007 .doc","workshop//Waitangi day Atawhai opening.doc"
"77","workshop//Arts Pasifika Awards 2007 .doc","workshop//Speech notes - Fishermen's Daughters 2008.doc"
"50","workshop//Arts Pasifika Awards 2007 .doc","workshop//Suter Art Gallery .doc"
"44","workshop//Waitangi day Atawhai opening.doc","workshop//Speech notes - Fishermen's Daughters 2008.doc"
"44","workshop//Waitangi day Atawhai opening.doc","workshop//Suter Art Gallery .doc"
"29","workshop//zero tertiary fees.doc","workshop//stalactites.doc"
"36","workshop//zero tertiary fees.doc","workshop//kiwisaver amendment.doc"
"32","workshop//zero tertiary fees.doc","workshop//dhb changes draft.doc"
"32","workshop//zero tertiary fees.doc","workshop//taiwan national day.doc"
"14","workshop//stalactites.doc","workshop//kiwisaver amendment.doc"
"16","workshop//stalactites.doc","workshop//dhb changes draft.doc"
"24","workshop//stalactites.doc","workshop//taiwan national day.doc"
"35","workshop//Speech notes - Fishermen's Daughters 2008.doc","workshop//Suter Art Gallery .doc"
"23","workshop//kiwisaver amendment.doc","workshop//dhb changes draft.doc"
"29","workshop//kiwisaver amendment.doc","workshop//taiwan national day.doc"
"19","workshop//dhb changes draft.doc","workshop//taiwan national day.doc"
